epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54421,2.05142,4.05916,1.75914,0.00316,0.63473,0.01829,0.0063,2.39903,3.49447,2.13383,7.145e-05,7.145e-05,7.145e-05
2,4.84572,1.77945,3.7535,1.55119,0.0038,0.79095,0.47775,0.19146,1.46037,3.21163,1.30287,0.000155634,0.000155634,0.000155634
3,7.02937,1.43604,3.33587,1.28099,0.00564,0.77861,0.56774,0.28632,1.24601,3.10984,1.1574,0.00023812,0.00023812,0.00023812
4,9.21345,1.44978,2.66381,1.30836,0.00495,0.76472,0.54972,0.28534,1.13565,3.04179,1.0936,0.000318909,0.000318909,0.000318909
5,11.3364,1.4372,2.20103,1.34398,0.00403,0.75237,0.53074,0.28763,1.12066,3.03951,1.10404,0.000397999,0.000397999,0.000397999
6,13.4061,1.30196,1.85602,1.28717,0.00359,0.75392,0.51656,0.27943,1.18449,3.12677,1.31669,0.000475393,0.000475393,0.000475393
7,15.4085,1.36814,1.78562,1.30252,0.00371,0.77861,0.6437,0.38846,1.27444,3.03299,1.26347,0.000551088,0.000551088,0.000551088
8,17.4439,1.21483,1.76985,1.22676,0.00372,0.77861,0.69161,0.44351,1.13429,2.74664,1.13488,0.000625086,0.000625086,0.000625086
9,19.69,1.18347,1.59443,1.21224,1,0.22517,0.70122,0.44216,1.21713,2.56844,1.18785,0.000697386,0.000697386,0.000697386
10,21.6786,1.12619,1.4972,1.18451,0.99361,0.27557,0.69262,0.47148,0.98273,2.54314,1.14144,0.000767989,0.000767989,0.000767989
11,23.7151,1.11374,1.49782,1.15768,0.98153,0.41392,0.72415,0.41187,1.30748,2.41166,1.40619,0.000836894,0.000836894,0.000836894
12,25.6536,1.13749,1.47415,1.15944,1,0.4279,0.72601,0.49955,1.10658,2.31568,1.26899,0.000904101,0.000904101,0.000904101
13,27.6065,1.2044,1.45639,1.20716,0.99966,0.41558,0.74746,0.45461,1.268,2.37419,1.31373,0.000969611,0.000969611,0.000969611
14,29.6769,1.04348,1.33571,1.12928,0.98874,0.58974,0.76904,0.43283,1.36498,2.31184,1.42915,0.00103342,0.00103342,0.00103342
15,31.6102,1.0118,1.29854,1.11474,0.91379,0.68335,0.77217,0.51638,1.18596,1.99281,1.28412,0.00109554,0.00109554,0.00109554
16,33.5301,0.99401,1.27519,1.10472,0.88147,0.60754,0.74752,0.54085,1.07138,2.04964,1.18208,0.00115595,0.00115595,0.00115595
17,35.5446,0.99468,1.26862,1.1013,0.95821,0.70616,0.77097,0.5763,1.08799,1.67482,1.17818,0.00120265,0.00120265,0.00120265
18,37.4554,0.90853,1.15286,1.06435,0.92986,0.74003,0.76992,0.59948,0.97109,1.44351,1.10574,0.0011885,0.0011885,0.0011885
19,39.434,0.86802,1.17252,1.05272,0.97459,0.68498,0.76739,0.58026,0.99256,1.41589,1.12865,0.00117435,0.00117435,0.00117435
20,41.4264,0.92535,1.12547,1.0668,0.94809,0.68648,0.76549,0.46728,1.43678,1.4457,1.51388,0.00116021,0.00116021,0.00116021
21,43.3461,1.00139,1.13835,1.08507,0.95406,0.70237,0.78453,0.45288,1.38668,1.37484,1.49957,0.00114606,0.00114606,0.00114606
22,45.4164,0.93063,1.07993,1.06901,0.87935,0.68661,0.70575,0.31644,1.85486,1.36524,2.16594,0.00113191,0.00113191,0.00113191
23,47.5115,0.95592,1.09728,1.07985,0.95209,0.76457,0.83222,0.51457,1.36743,1.17303,1.55171,0.00111776,0.00111776,0.00111776
24,49.6405,0.83856,0.98622,1.02442,0.90526,0.82989,0.86916,0.65346,0.98233,1.13881,1.1783,0.00110362,0.00110362,0.00110362
25,51.7213,0.86956,0.99479,1.04056,0.9473,0.77295,0.86147,0.67394,0.92145,1.18228,1.12982,0.00108947,0.00108947,0.00108947
26,53.9908,0.84567,0.97332,1.04765,0.99481,0.78289,0.85003,0.6169,1.13419,1.01361,1.26571,0.00107532,0.00107532,0.00107532
27,56.0846,0.822,0.95745,1.0424,0.99412,0.82487,0.85415,0.70038,0.89792,1.09987,1.10423,0.00106118,0.00106118,0.00106118
28,58.2178,0.81094,0.96708,1.02758,0.97405,0.8405,0.87641,0.72025,0.80818,1.13836,1.06666,0.00104703,0.00104703,0.00104703
29,60.3005,0.75339,0.87438,1.00081,0.90115,0.763,0.86263,0.64746,0.92078,1.48503,1.13488,0.00103288,0.00103288,0.00103288
30,62.3794,0.78633,0.89042,1.03061,0.95146,0.794,0.86104,0.67973,0.95059,0.91053,1.08125,0.00101873,0.00101873,0.00101873
31,64.6687,0.75919,0.83416,1.00042,0.99289,0.77487,0.84339,0.69484,0.81004,0.85957,1.00612,0.00100459,0.00100459,0.00100459
32,66.8191,0.75059,0.82384,1.01041,0.95256,0.82674,0.86285,0.56953,1.20744,0.91195,1.36654,0.00099044,0.00099044,0.00099044
33,68.8677,0.72756,0.82099,1.00989,0.92377,0.71955,0.81256,0.51228,1.34435,0.97077,1.5956,0.000976293,0.000976293,0.000976293
34,70.967,0.7135,0.73974,0.96697,0.87206,0.81137,0.84746,0.62709,1.07013,0.92216,1.26245,0.000962146,0.000962146,0.000962146
35,73.03,0.71834,0.76418,0.99043,0.94143,0.78363,0.87498,0.68768,0.91838,0.81759,1.12696,0.000947999,0.000947999,0.000947999
36,75.0759,0.70223,0.76623,0.98188,0.99085,0.83679,0.87171,0.62607,1.03928,0.78066,1.23713,0.000933851,0.000933851,0.000933851
37,77.1702,0.67501,0.73353,0.96374,0.94137,0.82731,0.88635,0.65764,0.95438,0.80253,1.18109,0.000919704,0.000919704,0.000919704
38,79.2722,0.65833,0.70649,0.98232,0.89518,0.76205,0.82631,0.55755,1.2557,1.03135,1.4163,0.000905557,0.000905557,0.000905557
39,81.3308,0.63645,0.70377,0.96577,0.9802,0.80016,0.85396,0.67769,0.91681,0.71364,1.1361,0.00089141,0.00089141,0.00089141
40,83.3868,0.71913,0.77959,1.02753,0.96869,0.8023,0.89957,0.78425,0.62764,0.59978,0.92669,0.000877263,0.000877263,0.000877263
41,85.4383,0.68869,0.71005,0.98356,0.96157,0.8433,0.92265,0.77361,0.6678,0.63707,0.93177,0.000863116,0.000863116,0.000863116
42,87.4115,0.6502,0.69795,0.956,0.97105,0.83253,0.90999,0.76504,0.65559,0.54507,0.93331,0.000848969,0.000848969,0.000848969
43,89.3733,0.6483,0.66425,0.96599,0.95904,0.8146,0.89864,0.75638,0.66926,0.59705,0.92105,0.000834822,0.000834822,0.000834822
44,91.3086,0.57843,0.61997,0.92353,0.986,0.84378,0.91344,0.79831,0.58679,0.53537,0.90415,0.000820675,0.000820675,0.000820675
45,93.1825,0.56797,0.59982,0.92258,0.91938,0.84329,0.90191,0.78376,0.55512,0.55526,0.92125,0.000806528,0.000806528,0.000806528
46,95.0991,0.56909,0.62737,0.92759,0.92145,0.84536,0.87809,0.78718,0.49302,0.61615,0.87847,0.00079238,0.00079238,0.00079238
47,96.9911,0.56184,0.59683,0.92527,0.99341,0.81707,0.90036,0.79178,0.60972,0.58578,0.92151,0.000778233,0.000778233,0.000778233
48,98.9108,0.55327,0.58829,0.92306,0.98674,0.81707,0.8997,0.79322,0.57695,0.50887,0.89321,0.000764086,0.000764086,0.000764086
49,100.796,0.5375,0.58693,0.90546,0.99132,0.84872,0.91965,0.8322,0.47255,0.485,0.85951,0.000749939,0.000749939,0.000749939
50,102.657,0.55337,0.60009,0.94055,0.99247,0.84588,0.90646,0.79488,0.52303,0.519,0.88371,0.000735792,0.000735792,0.000735792
51,104.644,0.53793,0.57522,0.93162,0.96495,0.84453,0.92382,0.84695,0.45365,0.48338,0.85336,0.000721645,0.000721645,0.000721645
52,106.619,0.50061,0.53511,0.90755,0.98022,0.84366,0.92078,0.8346,0.45368,0.49481,0.85995,0.000707498,0.000707498,0.000707498
53,108.664,0.54395,0.57388,0.94173,0.97875,0.86201,0.922,0.83773,0.48623,0.46813,0.87038,0.000693351,0.000693351,0.000693351
